# 球谐函数系数文件
# 阶数: 3
# 系数数量: 9
3 9
0.593448 0.480135 0.541926
0.0035285 -0.00121089 -0.00114925
0.502093 0.402441 0.439809
-0.309424 -0.176927 -0.0180367
-0.0105692 -0.00908716 -0.0068378
0.00172827 0.00245107 0.00360058
-0.726275 -0.448791 -0.0491678
0.0513224 -0.0399387 -0.0518795
-0.0207697 -0.0211991 -0.035961
